phase_connected,final_sigma_P_ns,final_sigma_Pdot_1e-15,total_telescope_time_s,num_epochs,population_type
True,0.174129389475744,0.01626529017864141,300.0,5,young
True,0.0010622870024055127,0.0014164738496014841,240.0,4,young
True,1.2079209523292736e-06,7.856237305766155e-07,240.0,4,young
True,0.007097887470393142,0.007366905237856721,240.0,4,young
True,0.00015884002178521525,0.0001333948140300266,300.0,5,young
True,0.09739545146352441,0.012486827114808016,540.0,6,young
True,0.01640821995492258,0.0051090759686551095,300.0,5,young
True,0.05109023732345919,0.011933237055246149,240.0,4,young
True,0.008027118013238615,0.013139335348405567,240.0,4,young
True,0.0003147758664462217,9.519373722791539e-05,240.0,4,young
True,0.003181977090229725,0.0016029827575626504,300.0,5,young
True,0.016054106424513406,0.0014236847654172668,240.0,4,young
True,0.006752475024672371,0.0007680837114563685,240.0,4,young
True,4.916408448914609e-05,5.076547067557054e-05,240.0,4,young
True,1.0395963455869677e-05,7.116526012020194e-06,240.0,4,young
True,0.6848370315133289,0.23658045293418864,240.0,4,young
True,0.03664838180157084,0.002745266698989213,300.0,5,young
True,0.004000246434143377,0.0030823385801775727,300.0,5,young
True,0.4731351448215802,0.03596528918715387,240.0,4,young
True,0.0013895015479272721,0.00044195667180328447,300.0,5,young
True,0.0023160380941053167,0.00037910193351538675,300.0,5,young
True,0.00036404150129857666,0.0008494162210322442,240.0,4,young
True,0.007868807072300553,0.0021697779768127114,300.0,5,young
False,0.14847166625706626,3.2148300290809746,1366.875,3,young
True,0.000977080963447677,0.0017298556075041479,240.0,4,young
True,0.922707584936815,0.16594223450006126,240.0,4,young
True,0.00012705305541991322,0.00017831684314795592,240.0,4,young
True,0.000421191294220408,0.0004173423180366686,240.0,4,young
True,0.00605543395879036,0.004074013695594683,240.0,4,young
True,6.321715222487911e-06,1.7849836812760856e-06,240.0,4,young
True,0.006684502579039544,0.006493611515839473,7560.0,6,young
True,0.021663493807421844,0.015665674970493725,240.0,4,young
True,0.046397342226137235,0.00571484430857228,240.0,4,young
True,1.809701240062064e-05,5.6729587584753455e-05,240.0,4,young
True,0.05386947322228383,0.0039546084182488055,300.0,5,young
True,0.00010817431237653477,9.163867469816959e-05,240.0,4,young
True,0.11508669277268405,0.043362956687682336,240.0,4,young
True,0.0015869527496109176,0.003661917890823643,240.0,4,young
True,0.001630435111664805,0.0023250812824310045,240.0,4,young
True,0.06517482006255802,0.05121188757488206,240.0,4,young
True,0.009764631617818976,0.004880603976351332,240.0,4,young
True,0.04677934712225797,0.023748670639335657,300.0,5,young
True,0.16002896296842445,0.03648871295098037,240.0,4,young
True,0.0029451772576424193,0.0027823835958117765,300.0,5,young
True,1.9373480220363653e-05,4.869458281817515e-05,240.0,4,young
True,1.022664001303332,0.12472170555383737,240.0,4,young
True,0.0011997635082896731,0.0005904720897801049,240.0,4,young
True,0.00013913236811739828,0.00025407843811587114,240.0,4,young
True,0.00046836952167317384,0.0002791536026726345,240.0,4,young
True,0.2975232147227023,0.09401094773971765,240.0,4,young
True,0.00016273326180657162,6.378645447252917e-05,240.0,4,young
True,0.005105293414844644,0.002730409825406497,240.0,4,young
True,9.895999343204275e-05,0.00010085295825575231,240.0,4,young
True,0.00013585468332230242,8.810324731786296e-05,240.0,4,young
False,0.005796212621876925,0.18294057203241426,180.0,3,young
True,6.85111637241044e-05,8.350744417938582e-05,240.0,4,young
True,0.009200306248392989,0.00025840984552664514,240.0,4,young
True,0.025525863632891745,0.001281368428326567,240.0,4,young
True,0.8737935893306066,0.09312201228185324,240.0,4,young
True,3.88961208011134e-05,1.4644978171989224e-05,240.0,4,young
True,4.001867114866319e-05,8.858785142872074e-05,240.0,4,young
True,0.0007081107408487079,0.0018533615129722432,240.0,4,young
True,0.007294627279226873,0.0031214421032577776,240.0,4,young
True,0.001395484999968179,0.0002249314398429451,240.0,4,young
True,0.012208709106137602,0.0030243958050571074,300.0,5,young
True,0.06263508058810534,0.009737807430659986,240.0,4,young
True,1.8455325371656344e-05,8.910172886767105e-06,240.0,4,young
True,0.008898451950804784,0.001985516619297001,240.0,4,young
True,2.91560449212037e-05,4.702887921401374e-05,240.0,4,young
True,0.007007662763531608,0.008573935020743497,240.0,4,young
True,8.614110433581493,1.2455469860889095,240.0,4,young
True,0.0766654873315792,0.03372027728868326,240.0,4,young
True,10.367467172544368,0.32909481509921223,300.0,5,young
True,0.006483345556336798,0.001814878018120753,300.0,5,young
True,0.09956802916317159,0.019307850157244136,240.0,4,young
True,0.0929735531966571,0.028570748155210796,240.0,4,young
True,0.0006686756265745029,0.0006957929204553671,240.0,4,young
True,3.1157276774050856e-05,8.291841760409526e-05,240.0,4,young
